nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
442,0.0332,0.040247604,0.0226974,0.036165409999999995,0.050144,0.034295
443,0.033100000000000004,0.03986258,0.022606199999999996,0.036029372,0.050021,0.03396
444,0.0329,0.039445219999999996,0.022492199999999997,0.035867421999999996,0.049903,0.033596
445,0.0327,0.039000788,0.022355400000000004,0.035679876,0.049786,0.033204
446,0.0325,0.038535864,0.022195799999999998,0.03546847199999999,0.04967100000000001,0.032791
447,0.0323,0.03805684,0.022024799999999997,0.035234315999999995,0.049559000000000006,0.03236
448,0.032100000000000004,0.037570483999999994,0.0218538,0.034978672,0.049447,0.031916
449,0.0318,0.037083939999999996,0.0216828,0.034703278000000004,0.04933900000000001,0.03146499999999999
450,0.0316,0.03660360000000001,0.0215118,0.034409872,0.049228,0.03101
451,0.0314,0.03613642,0.021363600000000003,0.03410035000000001,0.04911900000000001,0.030557
452,0.0312,0.03568747599999999,0.021215400000000002,0.033775502,0.049009000000000004,0.030108
453,0.031,0.03526316,0.02109,0.03343769800000001,0.048898000000000004,0.029668
454,0.030699999999999998,0.034867984,0.020987400000000003,0.033088202,0.048785999999999996,0.029240999999999996
455,0.0305,0.034507024000000004,0.020907600000000002,0.032729542,0.048671000000000006,0.028831
456,0.0304,0.03418216000000001,0.020839199999999995,0.032362666000000005,0.048554,0.02844
457,0.030199999999999998,0.03389564800000001,0.0207936,0.031989312,0.048433000000000004,0.02807
458,0.03,0.033648804000000004,0.0207594,0.03161216600000001,0.048309000000000005,0.027726999999999998
459,0.029799999999999997,0.033440124,0.020748,0.031232807999999994,0.048182,0.02741
460,0.029699999999999997,0.033266788,0.020736599999999997,0.030853134,0.048048,0.027124
461,0.0295,0.03312372000000001,0.020748,0.030475672000000002,0.047911,0.026868000000000003
462,0.0294,0.033003776,0.020748,0.030102318,0.047765999999999996,0.026646
463,0.0293,0.032897744,0.0207594,0.029734651999999997,0.04761700000000001,0.026458000000000006
464,0.029099999999999997,0.032794531999999994,0.0207594,0.02937615,0.047462,0.026304000000000004
465,0.028999999999999998,0.032681544,0.0207594,0.029028234,0.047298,0.026186
466,0.028900000000000002,0.032545995999999994,0.020748,0.028692799999999997,0.047130000000000005,0.026104000000000002
467,0.0288,0.032375856,0.0207252,0.028372218,0.046951,0.026056000000000003
468,0.0286,0.032161348000000006,0.020691,0.028068226,0.046766999999999996,0.026042
469,0.0285,0.031894764,0.020634,0.027782561999999997,0.046574,0.026060000000000003
470,0.0284,0.03157366000000001,0.020565600000000003,0.027516647999999998,0.046372000000000003,0.026108000000000003
471,0.0282,0.031199727999999996,0.020474400000000004,0.027271748,0.046165,0.026183
472,0.0281,0.030778044,0.020371800000000002,0.027048494000000003,0.045946999999999995,0.026281000000000002
473,0.028,0.030319324,0.0202578,0.026848308,0.045722,0.026395000000000005
474,0.0278,0.029834847999999994,0.020132399999999998,0.026670874000000004,0.045487999999999994,0.026523
475,0.0277,0.029339091999999997,0.019995600000000002,0.026516824,0.045244999999999994,0.026656000000000003
476,0.0275,0.028845404,0.019847399999999998,0.026385684000000006,0.044995999999999994,0.026787000000000002
477,0.0274,0.028366944000000005,0.019699199999999997,0.026276664,0.044735,0.026908000000000005
478,0.0272,0.02791612,0.019551000000000002,0.026188816000000004,0.044471,0.02701
479,0.0271,0.027502144,0.0194142,0.026120876,0.044195,0.027086
480,0.027,0.027133287999999995,0.0192774,0.026070948000000004,0.04391300000000001,0.027125999999999997
481,0.0268,0.026815380000000003,0.019140599999999997,0.026036662,0.043624,0.027122999999999998
482,0.0267,0.026551992000000007,0.019026599999999998,0.026015490000000006,0.043326,0.027068000000000002
483,0.026500000000000003,0.026345380000000005,0.018924000000000003,0.026004114000000005,0.043025,0.026958000000000006
484,0.026400000000000003,0.026195544000000005,0.0188442,0.025999216000000002,0.04271200000000001,0.026786
485,0.0262,0.026100792,0.018775800000000002,0.025997004000000004,0.042396,0.026550000000000004
486,0.0261,0.026058492000000006,0.0187188,0.025993844000000002,0.042075,0.026251000000000003
487,0.025900000000000003,0.026063380000000004,0.018684600000000003,0.025985154000000007,0.041745,0.025889
488,0.0258,0.026109064,0.0186732,0.025967458000000006,0.041414,0.025468000000000005
489,0.0256,0.026187272,0.0186732,0.025936174000000003,0.041075,0.024993
490,0.025400000000000002,0.026287852,0.018684600000000003,0.025888142,0.040734,0.024469
491,0.025300000000000003,0.026399524000000004,0.018707400000000002,0.025820044,0.040388,0.023904
492,0.0251,0.026509504000000003,0.0187302,0.02572951,0.040036,0.023305000000000003
493,0.024900000000000002,0.02660388,0.018775800000000002,0.025614170000000002,0.039686,0.02268
494,0.0247,0.026668176000000005,0.01881,0.025473076000000004,0.039328,0.022035999999999997
495,0.0245,0.026688856000000004,0.0188442,0.025306228,0.038971,0.021381000000000004
496,0.024300000000000002,0.026653136000000004,0.018878400000000004,0.025113626,0.038610000000000005,0.020721
497,0.024,0.026550488000000004,0.018889799999999998,0.024896849999999998,0.038246999999999996,0.020062
498,0.023799999999999998,0.026373204000000004,0.018901200000000003,0.024657322000000002,0.037885999999999996,0.019408
499,0.0235,0.02611696,0.018878400000000004,0.024397886,0.037519000000000004,0.018765000000000004
500,0.0232,0.025781380000000003,0.0188442,0.024121544,0.037156,0.018136
501,0.0229,0.025369472000000004,0.0187872,0.023831139999999997,0.036789999999999996,0.017522
502,0.022699999999999998,0.024887252,0.018707400000000002,0.023529834,0.03642499999999999,0.016927
503,0.0223,0.024344496000000004,0.0186048,0.023221576,0.036060999999999996,0.016353000000000003
504,0.022,0.023751356000000005,0.018479400000000003,0.022908420000000002,0.035695,0.015798999999999997
505,0.0217,0.023119676,0.018331200000000002,0.022594316000000003,0.035334,0.015267
