wl,absorb_m1,backs_m1
387,0.0053,0.003025
388,0.0053,0.003
389,0.00535,0.002975
390,0.005399999999999999,0.00295
391,0.005399999999999999,0.0029249999999999996
392,0.005399999999999999,0.0029
393,0.005399999999999999,0.00285
394,0.005399999999999999,0.0028
395,0.00545,0.0027749999999999997
396,0.0055000000000000005,0.00275
397,0.00555,0.002725
398,0.0056,0.0027
399,0.0057,0.0026750000000000003
400,0.0058,0.00265
401,0.005849999999999999,0.0026249999999999997
402,0.0059,0.0026
403,0.006,0.002575
404,0.0060999999999999995,0.00255
405,0.0062,0.0025250000000000003
406,0.0063,0.0025
407,0.0063999999999999994,0.0024749999999999998
408,0.0065,0.00245
409,0.0066,0.002425
410,0.0067,0.0024
411,0.0068000000000000005,0.002375
412,0.0069,0.00235
413,0.00705,0.002325
414,0.0072,0.0023
415,0.007299999999999999,0.002275
416,0.0073999999999999995,0.00225
417,0.0075,0.002225
418,0.007600000000000001,0.0022
419,0.00775,0.002175
420,0.007899999999999999,0.00215
421,0.00805,0.002125
422,0.0082,0.0021
423,0.0083,0.0021
424,0.0084,0.0021
425,0.008549999999999999,0.002075
426,0.0087,0.00205
427,0.008799999999999999,0.002025
428,0.0089,0.002
429,0.009049999999999999,0.001975
430,0.0092,0.00195
431,0.0093,0.001925
432,0.009399999999999999,0.0019
433,0.00955,0.0019
434,0.0097,0.0019
435,0.0098,0.001875
436,0.009899999999999999,0.00185
437,0.01005,0.001825
438,0.0102,0.0018
439,0.0103,0.0018
440,0.0104,0.0018
441,0.010499999999999999,0.001775
442,0.0106,0.00175
443,0.0107,0.001725
444,0.010799999999999999,0.0017
445,0.0109,0.0017
446,0.011000000000000001,0.0017
447,0.0111,0.0016749999999999998
448,0.0112,0.00165
449,0.011300000000000001,0.00165
450,0.0114,0.00165
451,0.0115,0.0016250000000000001
452,0.0116,0.0016
453,0.011699999999999999,0.001575
454,0.0118,0.00155
455,0.0119,0.00155
456,0.012,0.00155
457,0.0121,0.0015249999999999999
458,0.012199999999999999,0.0015
459,0.0123,0.0015
460,0.012400000000000001,0.0015
461,0.0125,0.001475
462,0.0126,0.00145
463,0.0127,0.00145
464,0.012799999999999999,0.00145
465,0.012899999999999998,0.001425
466,0.013,0.0014
467,0.01315,0.0014
468,0.013300000000000001,0.0014
469,0.0134,0.001375
470,0.0135,0.00135
471,0.013649999999999999,0.00135
472,0.0138,0.00135
473,0.01395,0.001325
474,0.014100000000000001,0.0013
475,0.01425,0.0013
476,0.0144,0.0013
477,0.014599999999999998,0.001275
478,0.014799999999999999,0.00125
479,0.015,0.00125
480,0.015200000000000002,0.00125
481,0.01545,0.001225
482,0.0157,0.0012
483,0.01595,0.0012
484,0.0162,0.0012
485,0.01645,0.0012
486,0.0167,0.0012
487,0.01705,0.0011749999999999998
488,0.0174,0.00115
489,0.017750000000000002,0.00115
490,0.0181,0.00115
491,0.018500000000000003,0.0011250000000000001
492,0.0189,0.0011
493,0.01935,0.0011
494,0.019799999999999998,0.0011
495,0.02035,0.0011
496,0.020900000000000002,0.0011
497,0.0216,0.001075
498,0.0223,0.00105
499,0.02305,0.00105
500,0.0238,0.00105
501,0.024650000000000002,0.00105
502,0.025500000000000002,0.00105
503,0.0264,0.0010249999999999999
504,0.0273,0.001
505,0.028200000000000003,0.001
506,0.0291,0.001
507,0.03005,0.001
508,0.031,0.001
509,0.03195,9.75e-4
510,0.0329,9.5e-4
511,0.0339,9.5e-4
512,0.0349,9.5e-4
513,0.03585,9.5e-4
514,0.0368,9.5e-4
515,0.0377,9.25e-4
516,0.0386,9e-4
517,0.0395,9e-4
518,0.0404,9e-4
519,0.04065,9e-4
520,0.0409,9e-4
521,0.041249999999999995,9e-4
522,0.0416,9e-4
523,0.041249999999999995,8.749999999999999e-4
524,0.0409,8.5e-4
525,0.041800000000000004,8.5e-4
526,0.0427,8.5e-4
527,0.042499999999999996,8.5e-4
528,0.0423,8.5e-4
529,0.0426,8.5e-4
530,0.0429,8.5e-4
531,0.0437,8.25e-4
532,0.0445,8e-4
533,0.04505,8e-4
534,0.0456,8e-4
535,0.0463,8e-4
536,0.047,8e-4
537,0.0475,8e-4
538,0.048,8e-4
539,0.04875,7.750000000000001e-4
540,0.0495,7.5e-4
541,0.0499,7.5e-4
542,0.0503,7.5e-4
543,0.051500000000000004,7.5e-4
544,0.052700000000000004,7.5e-4
545,0.05355,7.5e-4
546,0.0544,7.5e-4
547,0.055400000000000005,7.25e-4
548,0.056400000000000006,7e-4
549,0.0576,7e-4
550,0.0588,7e-4
551,0.05995,7e-4
552,0.0611,7e-4
553,0.0621,7e-4
554,0.0631,7e-4
555,0.06385,7e-4
556,0.0646,7e-4
557,0.06520000000000001,6.75e-4
558,0.0658,6.5e-4
559,0.0665,6.5e-4
560,0.0672,6.5e-4
561,0.06789999999999999,6.5e-4
562,0.0686,6.5e-4
563,0.06924999999999999,6.5e-4
564,0.06989999999999999,6.5e-4
565,0.07085,6.5e-4
566,0.0718,6.5e-4
567,0.0726,6.249999999999999e-4
568,0.07339999999999999,6e-4
569,0.07465,6e-4
570,0.0759,6e-4
571,0.07730000000000001,6e-4
572,0.0787,6e-4
573,0.08030000000000001,6e-4
574,0.0819,6e-4
575,0.08385000000000001,6e-4
576,0.0858,6e-4
577,0.0877,6e-4
578,0.0896,6e-4
579,0.09240000000000001,5.75e-4
580,0.0952,5.5e-4
581,0.0976,5.5e-4
582,0.1,5.5e-4
583,0.10395000000000001,5.5e-4
584,0.10790000000000001,5.5e-4
585,0.1119,5.5e-4
586,0.1159,5.5e-4
587,0.1206,5.5e-4
588,0.1253,5.5e-4
589,0.13045,5.5e-4
590,0.1356,5.5e-4
591,0.14075,5.250000000000001e-4
592,0.1459,5e-4
593,0.1513,5e-4
594,0.1567,5e-4
595,0.16335,5e-4
596,0.16999999999999998,5e-4
597,0.178,5e-4
598,0.186,5e-4
599,0.2042,5e-4
600,0.2224,5e-4
601,0.22949999999999998,5e-4
602,0.2366,5e-4
603,0.24070000000000003,5e-4
